"schema","table","columns"
"plataforma","version_sistema","id_version_sistema,version,fecha_lanzamiento,descripcion"
"seguridad","asignacion_rol_usuario","id_asignacion_rol_usuario,id_usuario,id_tenant,id_rol,id_alcance_asignacion,id_grupo_empresarial,id_empresa,id_unidad_organizativa,fecha_inicio_utc,fecha_fin_utc,concedido_por,activo,creado_utc,actualizado_utc"
"seguridad","configuracion_canal_notificacion","id_configuracion_canal_notificacion,id_tenant,id_empresa,id_canal_notificacion,host,puerto,usa_ssl,usuario_tecnico,referencia_secreto,secreto_cifrado,remitente_correo,nombre_remitente,activo,creado_utc,actualizado_utc"
"seguridad","contador_rate_limit","id_contador_rate_limit,id_tenant,id_empresa,ambito,llave,endpoint,inicio_ventana_utc,conteo"
"seguridad","control_intentos_login","id_control_intento,login_usuario,ip,intentos,fecha_ultimo_intento,bloqueado_hasta"
"seguridad","credencial_local_usuario","id_usuario,hash_clave,salt_clave,algoritmo_clave,iteraciones_clave,cambio_clave_utc,debe_cambiar_clave,activo,version_fila"
"seguridad","deber","id_deber,id_tenant,codigo,nombre,descripcion,es_sistema,activo,creado_utc,actualizado_utc,version_fila"
"seguridad","deber_privilegio","id_deber,id_privilegio,activo,creado_utc,actualizado_utc"
"seguridad","desafio_mfa","id_desafio_mfa,id_usuario,id_tenant,id_empresa,id_sesion_usuario,id_flujo_autenticacion,id_proposito_desafio_mfa,id_canal_notificacion,codigo_accion,otp_hash,otp_salt,expira_en_utc,usado,intentos,max_intentos,creado_utc,validado_utc"
"seguridad","dispositivo_usuario","id_dispositivo_usuario,id_usuario,fingerprint,navegador,sistema_operativo,ip_ultimo_acceso,fecha_registro,fecha_ultimo_acceso"
"seguridad","entidad_alcance_dato","codigo_entidad,nombre_tabla,columna_llave_primaria,columna_tenant,columna_empresa,columna_unidad_organizativa,columna_propietario,columna_contexto,descripcion,activo,creado_utc,actualizado_utc"
"seguridad","excepcion_permiso_usuario","id_excepcion_permiso_usuario,id_usuario,id_tenant,id_permiso,id_efecto_permiso,id_alcance_asignacion,id_grupo_empresarial,id_empresa,id_unidad_organizativa,fecha_inicio_utc,fecha_fin_utc,concedido_por,motivo,activo,creado_utc,actualizado_utc"
"seguridad","factor_mfa_usuario","id_factor_mfa_usuario,id_usuario,id_tipo_factor_mfa,etiqueta,destino_enmascarado,referencia_secreto,secreto_cifrado,configuracion_json,verificado,es_predeterminado,ultimo_uso_utc,fecha_enrolamiento_utc,activo,version_fila"
"seguridad","filtro_dato_usuario","id_filtro_dato_usuario,id_usuario,id_tenant,id_empresa,codigo_entidad,id_modo_filtro_dato,valor_filtro,id_unidad_organizativa,fecha_inicio_utc,fecha_fin_utc,activo,creado_utc,actualizado_utc"
"seguridad","flujo_autenticacion","id_flujo_autenticacion,id_usuario,id_tenant,mfa_requerido,mfa_validado,expira_en_utc,usado,ip_origen,agente_usuario,huella_dispositivo,solicitud_id,creado_utc"
"seguridad","flujo_restablecimiento_clave","id_flujo_restablecimiento_clave,id_usuario,id_tipo_verificacion_restablecimiento,verificacion_completada,expira_en_utc,usado,ip_origen,agente_usuario,solicitud_id,creado_utc"
"seguridad","historial_clave_usuario","id_historial_clave_usuario,id_usuario,hash_clave,salt_clave,algoritmo_clave,iteraciones_clave,creado_utc"
"seguridad","ip_bloqueada","id_ip_bloqueada,ip,motivo,fecha_bloqueo,fecha_expiracion"
"seguridad","modulo_permiso","id_modulo_permiso,id_modulo,id_permiso"
"seguridad","operacion_api","id_operacion_api,codigo,modulo,controlador,accion,metodo_http,ruta,descripcion,activo,creado_utc,actualizado_utc"
